5
10847, 441, 441
10847, 495, 468
10847, 440, 458
10847, 426, 450
10847, 521, 464
10847, 480, 467
10847, 488, 470
10847, 513, 475
10848, 425, 469
10848, 437, 466
10848, 488, 471
10848, 455, 467
10848, 506, 473
10848, 512, 482
10848, 441, 474
10848, 463, 472
10848, 459, 469
10849, 437, 462
10849, 499, 469
10849, 480, 474
10849, 456, 470
10849, 474, 472
10849, 432, 465
10849, 449, 459
10849, 495, 464
10850, 461, 464
10850, 498, 468
10850, 504, 474
10850, 435, 468
10850, 465, 466
10850, 456, 466
10850, 456, 465
10850, 512, 473
10850, 485, 476
10851, 448, 472
10851, 481, 474
10851, 436, 467
10851, 439, 461
10851, 519, 469
10851, 481, 471
10851, 477, 473
10851, 488, 476
10851, 433, 468
10852, 440, 464
10852, 465, 465
10852, 478, 465
10852, 500, 472
10852, 487, 476
10852, 460, 470
10852, 443, 467
10687, 486, 468
10688, 463, 465
10688, 513, 473
10688, 511, 480
10689, 485, 482
10689, 516, 486
10689, 509, 487
10689, 426, 481
10689, 470, 482
10690, 490, 486
10690, 429, 481
10690, 479, 482
10690, 481, 479
10691, 543, 482
10691, 497, 484
10691, 435, 475
10692, 454, 470
10692, 432, 471
10692, 423, 466
10692, 460, 463
10693, 475, 467
10693, 488, 468
10693, 456, 466
10693, 464, 458
10693, 496, 458
10694, 84, 423
10694, 80, 385
10694, 70, 349
10695, 85, 315
10695, 83, 278
10695, 84, 239
10696, 71, 197
10696, 69, 158
10696, 70, 119
10697, 93, 78
10697, 95, 80
10697, 75, 79
10698, 147, 87
10699, 125, 91
10699, 100, 92
10700, 181, 102
10700, 212, 116
10700, 192, 129
10704, 331, 155
10704, 321, 177
10704, 369, 205
10720, 398, 237
10720, 407, 263
10720, 454, 296
10735, 454, 331
10735, 441, 357
10735, 470, 383
10750, 443, 408
10752, 422, 417
10752, 435, 429
10767, 458, 438
10767, 442, 442
10767, 462, 448
10782, 485, 451
10782, 457, 451
10782, 521, 459
10798, 486, 461
10798, 466, 463
10798, 437, 464
10813, 558, 477
10813, 484, 479
10814, 487, 484
10829, 498, 487
10829, 467, 486
10829, 461, 486
10829, 453, 479
10829, 458, 476
10830, 521, 482
10830, 462, 484
10830, 451, 474
10830, 445, 470
10831, 499, 471
10831, 496, 471
10831, 471, 471
10832, 535, 479
10832, 504, 484
10832, 449, 483
10833, 459, 477
10833, 499, 480
10833, 528, 488
10833, 512, 495
10833, 492, 494
10834, 471, 492
10834, 438, 488
10834, 425, 477
10834, 502, 477
10835, 413, 473
10835, 439, 471
10835, 473, 469
10836, 443, 460
10836, 440, 453
10836, 490, 453
10836, 493, 455
10838, 507, 462
10838, 496, 469
10841, 469, 466
10841, 422, 467
10841, 484, 471
10841, 452, 469
10841, 478, 473
10841, 520, 481
10841, 463, 478
10842, 455, 474
10842, 456, 469
10842, 415, 461
10842, 477, 462
10842, 511, 471
10842, 483, 471
10842, 508, 476
10842, 465, 475
10842, 415, 464
10843, 484, 466
10843, 470, 468
10843, 488, 471
10843, 536, 483
10843, 477, 483
10843, 437, 476
10843, 473, 475
10843, 428, 467
10844, 481, 468
10844, 513, 478
10844, 497, 480
10844, 482, 481
10844, 498, 482
10844, 504, 479
10844, 445, 475
10844, 441, 476
10844, 441, 473
10845, 479, 478
10845, 495, 479
10845, 522, 480
10845, 463, 477
10845, 473, 476
10845, 446, 470
10845, 423, 462
10845, 493, 467
10846, 486, 472
10846, 488, 476
10846, 504, 479
10846, 422, 472
10846, 437, 463
10846, 473, 464
10846, 436, 460
10846, 520, 468
10846, 520, 477